type,sec,sample
pred,116.8515625,14957
pred,117.8671875,15087
pred,118.1640625,15125
pred,119.1640625,15253
pred,119.4453125,15289
pred,120.4140625,15413
pred,121.6484375,15571
pred,121.9375,15608
pred,122.875,15728
pred,124.125,15888
pred,125.2734375,16035
pred,126.3671875,16175
pred,126.65625,16212
pred,127.4921875,16319
pred,127.78125,16356
pred,128.8359375,16491
pred,129.1328125,16529
pred,130.1640625,16661
pred,131.3828125,16817
pred,131.671875,16854
pred,132.6015625,16973
pred,133.671875,17110
pred,133.9609375,17147
pred,134.703125,17242
pred,134.9921875,17279
pred,135.8515625,17389
pred,136.1484375,17427
pred,137.046875,17542
pred,137.3359375,17579
pred,138.1953125,17689
pred,138.4921875,17727
pred,139.28125,17828
pred,139.5625,17864
pred,140.4140625,17973
pred,141.5390625,18117
pred,142.625,18256
pred,143.71875,18396
pred,144.0078125,18433
pred,144.90625,18548
pred,145.1953125,18585
pred,146.1171875,18703
pred,146.40625,18740
pred,147.2734375,18851
pred,148.4140625,18997
pred,149.5625,19144
pred,150.6640625,19285
pred,151.7578125,19425
pred,152.046875,19462
pred,152.875,19568
pred,153.1640625,19605
pred,154.015625,19714
pred,155.140625,19858
pred,156.234375,19998
pred,157.3359375,20139
pred,158.4375,20280
pred,159.5859375,20427
pred,159.875,20464
pred,160.8671875,20591
pred,161.15625,20628
pred,162.1171875,20751
pred,162.40625,20788
pred,163.328125,20906
pred,164.46875,21052
pred,165.625,21200
pred,166.875,21360
pred,168.1953125,21529
pred,169.4921875,21695
pred,170.7890625,21861
pred,171.078125,21898
pred,172.0234375,22019
pred,173.25,22176
pred,174.4921875,22335
pred,175.7734375,22499
pred,177.0625,22664
pred,178.34375,22828
pred,179.4609375,22971
pred,180.5078125,23105
pred,181.5703125,23241
pred,183.1640625,23445
pred,183.4609375,23483
pred,184.5859375,23627
pred,184.8828125,23665
pred,185.8125,23784
pred,187.046875,23942
pred,187.3359375,23979
pred,188.3046875,24103
pred,188.6015625,24141
pred,189.5390625,24261
pred,190.7265625,24413
pred,191.9375,24568
pred,193.1640625,24725
pred,194.4375,24888
pred,194.71875,24924
pred,195.6640625,25045
pred,196.8828125,25201
pred,198.1171875,25359
pred,199.3515625,25517
pred,200.5703125,25673
pred,201.7890625,25829
pred,203.0546875,25991
pred,204.2578125,26145
pred,205.484375,26302
pred,206.59375,26444
pred,207.59375,26572
pred,207.875,26608
pred,208.6171875,26703
pred,209.7734375,26851
pred,210.7109375,26971
pred,211.6875,27096
pred,212.7265625,27229
pred,213.6328125,27345
pred,214.609375,27470
pred,214.8984375,27507
pred,215.8828125,27633
pred,216.171875,27670
pred,217.0,27776
pred,218.03125,27908
pred,218.3203125,27945
pred,219.03125,28036
pred,219.3203125,28073
pred,220.1171875,28175
pred,221.3671875,28335
pred,221.65625,28372
pred,222.5703125,28489
pred,223.734375,28638
pred,224.8203125,28777
pred,225.8359375,28907
pred,226.828125,29034
pred,227.109375,29070
pred,227.8515625,29165
pred,228.140625,29202
pred,229.0625,29320
pred,230.4375,29496
pred,231.7421875,29663
pred,232.03125,29700
pred,232.9765625,29821
pred,234.1640625,29973
pred,235.328125,30122
pred,236.484375,30270
pred,236.78125,30308
pred,237.6328125,30417
pred,238.6953125,30553
pred,238.9765625,30589
pred,239.6953125,30681
pred,239.9921875,30719
pred,240.6953125,30809
pred,240.9921875,30847
pred,241.7890625,30949
pred,243.03125,31108
pred,243.3203125,31145
pred,244.3125,31272
pred,244.6015625,31309
pred,245.5234375,31427
pred,246.6484375,31571
pred,247.703125,31706
pred,248.7578125,31841
pred,249.7890625,31973
pred,250.78125,32100
pred,251.0703125,32137
pred,251.75,32224
pred,252.03125,32260
pred,252.6953125,32345
pred,252.9765625,32381
pred,253.703125,32474
pred,254.953125,32634
pred,255.2421875,32671
pred,256.265625,32802
pred,256.5546875,32839
pred,257.4375,32952
pred,257.7265625,32989
pred,258.5859375,33099
pred,259.546875,33222
pred,260.3828125,33329
pred,261.203125,33434
pred,262.515625,33602
pred,263.5703125,33737
pred,263.859375,33774
pred,264.6171875,33871
pred,265.78125,34020
pred,267.0546875,34183
pred,267.3359375,34219
pred,268.296875,34342
pred,269.46875,34492
pred,270.6015625,34637
pred,271.71875,34780
pred,272.8203125,34921
pred,273.875,35056
pred,274.859375,35182
pred,275.15625,35220
pred,275.8125,35304
pred,276.09375,35340
pred,276.7734375,35427
pred,277.8515625,35565
pred,279.1953125,35737
pred,279.4765625,35773
pred,280.484375,35902
pred,281.71875,36060
pred,282.90625,36212
pred,283.1953125,36249
pred,284.0625,36360
pred,285.1953125,36505
pred,286.3125,36648
pred,287.4453125,36793
pred,288.6015625,36941
pred,289.7578125,37089
pred,290.8828125,37233
pred,291.9375,37368
